,age_days,num_mementos
0,971,19
1,126,1
2,699,53
3,1574,2
4,1576,3
5,3039,11
6,0,0
7,0,0
8,0,0
9,0,0
10,788,11
11,0,0
12,2251,57
13,24,1
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,309,8
20,0,0
21,0,0
22,0,0
23,14,1
24,138,2
25,0,0
26,2,3
27,7585,4266
28,10,2
29,957,1
30,0,0
31,1,1
32,135,2
33,2,1
34,0,0
35,1474,15
36,642,15
37,54,1
38,138,3
39,54,2
40,613,4
41,1,14
42,2,6
43,1,1
44,3,3
45,2,1
46,1,1
47,0,0
48,263,14
49,222,1
50,2,1
51,0,0
52,0,0
53,10,2
54,2,1
55,81,3
56,81,5
57,0,0
58,0,0
59,0,0
60,0,0
61,2,1
62,93,2
63,744,7
64,1523,21
65,93,1
66,0,0
67,3,1
68,18,2
69,0,0
70,0,0
71,138,1
72,117,1
73,0,0
74,138,2
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,1,1
85,15,1
86,13,1
87,1678,2849
88,0,0
89,226,3
90,6489,181
91,2,1
92,312,1
93,7,1
94,2,1
95,0,0
96,2,1
97,312,3
98,150,2
99,1,1
100,0,0
101,0,0
102,1376,86
103,3025,3452
104,848,241
105,5,2
106,4225,21
107,2,1
108,2,1
109,2,1
110,2,1
111,2,1
112,0,0
113,5,1
114,2,1
115,2,1
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,178,1
124,2,1
125,0,0
126,1,1
127,0,0
128,54,1
129,94,1
130,0,0
131,53,1
132,33,1
133,19,1
134,2,2
135,0,0
136,0,0
137,2,1
138,7491,47
139,2,1
140,2,1
141,1,1
142,3,1
143,0,0
144,40,8
145,655,1
146,1833,27
147,138,1
148,0,0
149,19,2
150,2,1
151,138,2
152,0,0
153,1,1
154,2,1
155,0,0
156,0,0
157,568,16
158,138,2
159,6,2
160,14,2
161,120,1
162,13,1
163,2,1
164,4,7
165,138,2
166,2,1
167,2,1
168,28,2
169,0,0
170,1,1
171,0,0
172,0,0
173,1630,374
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,2,1
185,2,1
186,1852,14
187,1962,31
188,3,1
189,0,0
190,0,0
191,2798,123
192,20,1
193,6,4
194,1112,75
195,4,1
196,0,0
197,48,1
198,7,2
199,2,1
200,2,1
201,0,0
202,0,0
203,0,0
204,670,29
205,17,1
206,0,0
207,2,2
208,0,0
209,0,0
210,0,0
211,120,2
212,0,0
213,26,1
214,782,2
215,64,20
216,366,16
217,0,0
218,0,0
219,0,0
220,759,355
221,0,0
222,3254,502
223,1,1
224,2,1
225,49,67
226,1,1
227,0,0
228,656,4
229,1098,11
230,0,0
231,625,21
232,0,0
233,17,12
234,2,1
235,1471,17
236,3,1
237,2,1
238,40,5
239,1433,14
240,1166,2
241,0,0
242,0,0
243,0,0
244,4989,967
245,1,1
246,1,1
247,0,0
248,2,1
249,0,0
250,10196,679
251,0,0
252,3772,6499
253,1937,34
254,1439,16
255,1462,3
256,1897,85
257,1433,4
258,15,1
259,276,23
260,2,1
261,7727,1655
262,2,4
263,12,3
264,2,6
265,0,0
266,8466,2549
267,0,0
268,0,0
269,0,0
270,28,3
271,0,0
272,0,0
